knjiga,id_knjige,avtor,id_avtor,serija,opis,leto,zalozba,povprecna_ocena,score,st_glasov,st_ocen,st_reviewov,nagrade
Housekeeping,1742,Marilynne Robinson,7491,False,"A modern classic,  is the story of Ruth and her younger sister, Lucille, who grow up haphazardly, first under the care of their competent grandmother, then of two comically bumbling great-aunts, and finally of Sylvie, their eccentric and remote aunt. The family house is in the small Far West town of Fingerbone set on a glacial lake, the same lake where their grandfather died in a spectacular train wreck, and their mother drove off a cliff to her death. It is a town chastened by an outsized landscape and extravagant weather, and chastened again by an awareness that the whole of human history had occurred elsewhere. Ruth and Lucille's struggle toward adulthood beautifully illuminates the price of loss and survival, and the dangerous and deep undertow of transience.",2004,Picador USA,3.81,2572,35,46030,5492,True
Annabel Horton: Lost Witch of Salem,1743,Vera Jane Cook,1299520,False,"Annabel Horton is hanged on Gallows Hill in Salem, Massachusetts, during the infamous witch trials, but she does not die, at least not in the way we understand dying. Lost to time, stealing the flesh of those that the devil favors, she struggles to protect her family from the insidious evil that follows her.",unknown,unknown,4.33,2572,29,271,22,False
The Rules of Attraction,1744,Bret Easton Ellis,2751,False,"Set at a small affluent liberal-arts college in New England eighties,  is a startlingly funny, kaleidoscopic novel about three students with no plans for the future—or even the present—who become entangled in a curious romantic triangle. Bret Easton Ellis trains his incisive gaze on the kids at self-consciously bohemian Camden College and treats their sexual posturings and agonies with a mixture of acrid hilarity and compassion while exposing the moral vacuum at the center of their lives.  is a poignant, hilarious take on the death of romance.",1998,Vintage Contemporaries,3.69,2569,31,41421,1436,False
Beyond the Shadows,1745,Brent Weeks,1370283,True,"A new queen has usurped the throne and is leading Cenaria into disaster. The country has become a broken realm with a threadbare army, little food and no hope. So Kylar Stern plans to reinstate his closest friend Logan as King, but can he really get away with murder?  In the north, the Godking's death has thrown Khalidor into civil war. To gain the upper hand, one faction attempts to raise the goddess Khali herself. But they are playing with volatile powers, and trigger conflict on a vast scale. Seven armies will converge to save - or destroy - an entire continent.  Kylar has finally learnt the bitter cost of immortality, and is faced with a task only he can complete. To save his friends, and perhaps his enemies, he must assassinate a goddess. Failure will doom the south. Success will cost him everything he's ever loved.",2008,Orbit,4.25,2565,31,91953,2258,False
ساق البامبو,1746,سعود السنعوسي,4603829,False,لماذا كان جلوسي تحت الشجرة يزعج أمي؟ أتراها كانت تخشى أن تنبت لي جذور تضرب في عمق الأرض ما يجعل عودتي إلى بلاد أبي أمراً مستحيلاً؟..ربما، ولكن، حتى الجذور لا تعني شيئاً أحياناً.  لو كنت مثل نبتة البامبو.. لا انتماء لها.. نقتطع جزءاً من ساقها.. نغرسه، بلا جذور، في أي أرض.. لا يلبث الساق طويلاً حتى تنبت له جذور جديدة.. تنمو من جديد.. في أرض جديدة.. بلا ماض.. بلا ذاكرة.. لا يلتفت إلى اختلاف الناس حول تسميته.. كاوايان في الفلبين.. خيزران في الكويت.. أو بامبو في أماكن أخرى.,2014,الدار العربية للعلوم ناشرون,4.22,2565,28,52079,8378,True
Avalon High,1747,Meg Cabot,11654,True,"To newcomer Ellie, Avalon High seems like a typical American high school, complete with jocks, nerds, cheerleaders, and even the obligatory senior class president, quarterback, and all-around good guy. But it doesn't take Ellie long to suspect that something weird is going on beneath the glossy surface of this tranquil hall of learning. As she pieces together the meaning of this unfolding drama, she begins to recognize some haunting Arthurian echoes, causing her to worry that she has become just a pawn in mythic history. A powerful novel by the author of The Princess Diaries.",2006,HarperCollins Publishers,3.81,2564,34,43735,2295,True
The Sword in the Stone,1748,T.H. White,426944,True,"Learn. That is the only thing that never fails.--Merlyn the Wizard  Before there was a famous king named Arthur, there was a curious boy named Wart and a kind old wizard named Merlyn. Transformed by Merlyn into the forms of his fantasy, Wart learns the value of history from a snake, of education from a badger, and of courage from a hawk--the lessons that help turn a boy into a man. Together, Wart and Merlyn take the reader through this timeless story of childhood and adventure--The Sword in the Stone.   T.H. White's classic tale of the young Arthur's questioning and discovery of his life is unparalleled for its wit and wisdom, and for its colorful characters, from the wise Merlyn to the heroic Robin Wood to the warmhearted King Pellinore.  Golden Kite Honor artist Dennis Nolan has loved The Sword in the Stone since childhood, and he imbues White's tale with magic and mystery in his glowing illustrations. Readers who know Arthur or are meeting him for the first time will delight in this beautiful rendering of one of the greatest stories of all time.",1998,Collins,3.9,2563,46,23601,998,True
Reached,1749,Ally Condie,1304470,True,"After leaving Society to desperately seek The Rising, and each other, Cassia and Ky have found what they were looking for, but at the cost of losing each other yet again. Cassia is assigned undercover in Central city, Ky outside the borders, an airship pilot with Indie. Xander is a medic, with a secret. All too soon, everything shifts again.",2012,Penguin,3.56,2561,35,146478,11292,False
Making Faces,1750,Amy Harmon,5829056,False,"Ambrose Young was beautiful. He was tall and muscular, with hair that touched his shoulders and eyes that burned right through you. The kind of beautiful that graced the covers of romance novels, and Fern Taylor would know. She'd been reading them since she was thirteen. But maybe because he was so beautiful he was never someone Fern thought she could have . . . until he wasn't beautiful anymore. Making Faces is the story of a small town where five young men go off to war, and only one comes back. It is the story of loss. Collective loss, individual loss, loss of beauty, loss of life, loss of identity. It is the tale of one girl's love for a broken boy and a wounded warrior's love for an unremarkable girl. This is a story of friendship that overcomes heartache, heroism that defies the common definitions, and a modern tale of Beauty and the Beast, where we discover that there is a little beauty and a little beast in all of us.",unknown,unknown,4.32,2554,31,61546,8264,False
The Grand Delusion,1751,Heath Sommer,2918488,True,"Loner Addy Siwel only wanted answers when she signed up for a freshman course in theology—what she got was the attention of a murderer. In The Grand Delusion, Dr. Heath Sommer brings to life the precursor stories of characters John Joe, Addy Siwel, and Merci Bowku, who were introduced to the world in the 2009 contemporary mystery The Manufactured Identity. Terror-struck, the three protagonists vie against a backdrop of ironic evil as they are stalked by an unidentified villain who breaks all the rules and sends Chief of police and reluctant clairvoyant Frank Murphy scrambling against the clock in a murder mystery showdown that leaves all questioning what is real and what is beyond this world.",2010,Tate Publishing,4.12,2542,26,161,38,False
The Lost World,1752,Michael Crichton,5194,True,"It is now six years since the secret disaster at Jurassic Park, six years since the extraordinary dream of science and imagination came to a crashing end – the dinosaurs destroyed, the park dismantled, the island indefinitely closed to the public.  There are rumors that something has survived....",1995,"Alfred A. Knopf, Inc.",3.8,2529,35,130016,3953,False
"Fruits Basket, Vol. 1",1753,Natsuki Takaya,26306,True,A family with an ancient curse...  And the girl who will change their lives forever...  Tohru Honda was an orphan with no place to go until the mysterious Sohma family offered her a place to call home. Now her ordinary high school life is turned upside down as she's introduced to the Sohma's world of magical curses and family secrets.,2004,TokyoPop Inc,4.25,2528,40,150671,1929,False
The Testament,1754,John Grisham,721,False,"In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.  Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.  Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own.",1999,Island,3.86,2526,42,109195,3061,False
Bloodlines,1755,Lindsay Anne Kendal,3433502,True,"Keira Jameson used to lead a normal life, she just had a gift, passed down through the generations of her family. Now, after hearing voices, having strange dreams of others calling out to her, and her grandfather's last words haunting her, she sets out to find other families like hers. Along with her best friend Lily, the only person outside her family to know about her gift, Keira begins a hunt for her ancestors. A chance meeting with a young man, Lucian Turner, sets them on the right track, but their discoveries change the way Keira will see herself for ever more. Fear, superstition and heritage are shaping Keira's future and she must face her enemies, even if this could mean losing her life. She cannot escape her destiny.  Part Buffy-style horror, part tender romance, Bloodlines will have fans of the genre on tenterhooks waiting for the next instalment of this gripping and hell-raising tale.",2010,Book Guild Limited,3.69,2525,27,942,83,False
Along Came a Spider,1756,James Patterson,3780,True,"A missing little girl named Maggie Rose . . . a family of three brutally murdered in the projects of Washington, D.C. . . . the thrill-killing of a beautiful elementary school teacher . . . a psychopathic serial kidnapper/murderer who is so terrifying that the FBI, the Secret Service, and the police cannot outsmart him - even after he's been captured.  Gary Soneji wants to commit the crime of the century. Alex Cross is the brilliant homicide detective pitted against him. Jezzie Flanagan is the first female supervisor of the Secret Service who completes one of the most unusual suspense triangles in any thriller you have ever read.   Alex Cross and Jezzie Flanagan are about to have a forbidden love affair—at the worst possible time for both of them. Because Gary Soneji is playing at the top of his game. The latest of the unspeakable crimes happens in Alex Cross's precinct. It happens under the noses of Jezzie Flanagan's men. Now Alex Cross must face the ultimate test: How do you outmaneuver a brilliant psychopath?",2003,Grand Central Publishing,4.11,2521,40,411525,5300,False
Follow the River,1757,James Alexander Thom,29544,False,"Mary Ingles was twenty-three, married, and pregnant, when Shawnee Indians invaded her peaceful Virginia settlement, killed the men and women, then took her captive. For months, she lived with them, unbroken, until she escaped, and followed a thousand mile trail to freedom--an extraordinary story of a pioneer woman who risked her life to return to her people.",1986,Ballantine Books,4.22,2512,36,18236,2274,False
Shadow's Edge,1758,Brent Weeks,1370283,True,"The second novel in the Night Angel trilogy, the breakneck epic fantasy from New York Times bestselling author Brent Weeks.  Kylar Stern has rejected the assassin's life. The Godking's successful coup has left Kylar's master, Durzo, and his best friend, Logan, dead. He is starting over: new city, new friends, and new profession.  But when he learns that Logan might actually be alive and in hiding, Kylar is faced with an agonizing choice: will he give up the way of shadows forever and live in peace with his new family, or will he risk everything by taking on the ultimate hit?  Devour this blockbuster tale of assassination and magic by Brent Weeks, which has delighted readers all over the world--with over one million copies in print!",2008,Orbit,4.24,2507,29,95386,2059,False
Lord Jim,1759,Joseph Conrad,3345,False,"Jim, a young British seaman, becomes first mate on the Patna, a ship full of pilgrims travelling to Mecca for the hajj. When the ship starts rapidly taking on water and disaster seems imminent, Jim joins his captain and other crew members in abandoning the ship and its passengers. A few days later, they are picked up by a British ship. However, the Patna and its passengers are later also saved, and the reprehensible actions of the crew are exposed. The other participants evade the judicial court of inquiry, leaving Jim to the court alone. He is publicly censured for this action and the novel follows his later attempts at coming to terms with his past. The novel is counted as one of 100 best books of the 20th century.  Joseph Conrad (1857-1924), was a Polish author who wrote in English after settling in England. Conrad is regarded as one of the greatest novelists in English, though he did not speak the language fluently until he was in his twenties. He wrote stories and novels, often with a nautical setting, that depict trials of the human spirit in the midst of an indifferent world. He was a master prose stylist who brought a distinctly non-English tragic sensibility into English literature.  Contents:   Lord Jim  Memoirs &amp; Letters:  A Personal Record; or Some Reminiscences  The Mirror of the Sea  Notes on Life &amp; Letters  Biography &amp; Critical Essays:  Joseph Conrad (A Biography) by Hugh Walpole  Joseph Conrad by John Albert Macy  A Conrad Miscellany by John Albert Macy  Joseph Conrad by Virginia Woolf",2000,Broadview Press Inc,3.62,2506,42,27562,1327,False
Since You've Been Gone,1760,Morgan Matson,3351454,False,"It was Sloane who yanked Emily out of her shell and made life 100% interesting. But right before what should have been the most epic summer, Sloane just…disappears. All she leaves behind is a to-do list.  On it, thirteen Sloane-inspired tasks that Emily would normally never try. But what if they could bring her best friend back?   Okay, easy enough.   Sure. Why not?   Um...   Emily now has this unexpected summer, and the help of Frank Porter ( unexpected), to check things off Sloane's list. Who knows what she’ll find?   Wait...what?",2014,Simon &amp; Schuster,4.1,2506,27,99698,11087,True
The Constant Princess,1761,Philippa Gregory,9987,True,"Splendid and sumptuous historical novel from the internationally bestselling author, Philippa Gregory, telling of the early life of Katherine of Aragon.We think of Katherine of Aragon as the barren wife of a notorious king; but behind this legacy lies a fascinating story.Katherine of Aragon is born Catalina, the Spanish Infanta, to parents who are both rulers and warriors. Aged four, she is betrothed to Arthur, Prince of Wales, and is raised to be Queen of England. She is never in doubt that it is her destiny to rule that far-off, wet, cold land.Her faith is tested when her prospective father-in-law greets her arrival in her new country with a great insult; Arthur seems little better than a boy; the food is strange and the customs coarse. Slowly she adapts to the first Tudor court, and life as Arthur’s wife grows ever more bearable.But when the studious young man dies, she is left to make her own future: how can she now be queen, and found a dynasty? Only by marrying Arthur’s young brother, the sunny but spoilt Henry. His father and grandmother are against it; her powerful parents prove little use. Yet Katherine is her mother’s daughter and her fighting spirit is strong.She will do anything to achieve her aim; even if it means telling the greatest lie, and holding to it.",2006,Washington Square Press,3.91,2504,46,152107,4786,True
The Four Agreements: A Practical Guide to Personal Freedom,1762,Miguel Ruiz,4402,False,"In , don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, the Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love. The Four Agreements are: Be Impeccable With Your Word, Don't Take Anything Personally, Don't Make Assumptions, Always Do Your Best.",2001,Amber-Allen Publishing,4.16,2499,31,222430,12095,False
Significance,1763,Shelly Crane,4951964,True,"A story by NEW YORK TIMES and USA TODAY bestselling Author, Shelly Crane.  Maggie is a seventeen year old girl who's had a bad year. Her mom left, her dad is depressed, she's graduating, barely, and her boyfriend of almost three years dumped her for a college football scholarship. Lately she thinks life is all about hanging on by a thread and is gripping tight with everything she has.  Then she meets Caleb.  She saves his life and instantly knows there's something about him that's intriguing but she is supposed to be on her way to a date with his cousin. But things change when they touch, sparks ignite. Literally. They imprint with each other and she sees their future life together flash before her eyes. She learns that not only is she his soul mate, and can feel his heartbeat in her chest, but there is a whole other world of people with gifts and abilities that she never knew existed. She herself is experiencing supernatural changes unlike anything she's ever felt before and she needs the touch of his skin to survive. Now, not only has her dad come out of his depression to be a father again, and a pain as well, but Caleb's enemies know he's imprinted and are after Maggie to stop them both from gaining their abilities and take her from him. Can Caleb save her or will they be forced to live without each other after just finding one another?",2011,Kiss Me Publications,4.09,2498,29,44016,2858,False
The Raven King,1764,Maggie Stiefvater,1330292,True,"The fourth and final installment in the spellbinding series from the irrepressible, #1 New York Times bestselling author Maggie Stiefvater.  All her life, Blue has been warned that she will cause her true love's death. She doesn't believe in true love and never thought this would be a problem, but as her life becomes caught up in the strange and sinister world of the Raven Boys, she's not so sure anymore.",2016,Scholastic Press,4.23,2498,31,110958,15364,True
The Snowman,1765,Jo Nesbø,904719,True,"V Osle napadol prvý sneh. Jonas ráno vstane a zistí, že jeho matka zmizla. Ostane po nej jediná stopa – ružový šál, čo jej daroval na Vianoce. Má ho na krku snehuliak. Predošlú noc sa nečakane zjavil na dvore a jeho čierne oči hľadia priamo do domu. Prípad rieši inšpektor Harry Hole, ktorý nedávno dostal tajomný list s podpisom Snehuliak. Situácia sa ešte väčšmi zamotáva, keď Harry zistí, že tento model sa opakuje – za posledných desať rokov sa stratilo jedenásť žien, a to vždy presne v deň, keď napadol prvý sneh. Vyšetrovanie je pre Harryho o to zložitejšie, že sa týka jeho novej kolegyne, ale aj milovanej Rachel. Prípad Snehuliak ho privádza na pokraj šialenstva. Brilantne vykreslené postavy a gradujúce napätie sú zárukou napínavého príbehu, aký vie napísať len majster súčasných trilerov Jo Nesbo.",2011,Knopf,4.02,2497,30,115264,8624,True
These Happy Golden Years,1766,Laura Ingalls Wilder,5300,True,"Fifteen-year-old Laura lives apart from her family for the first time, teaching school in a claim shanty twelve miles from home. She is very homesick, but keeps at it so that she can help pay for her sister Mary's tuition at the college for the blind. During school vacations Laura has fun with her singing lessons, going on sleigh rides, and best of all, helping Almanzo Wilder drive his new buggy. Friendship soon turns to love for Laura and Almanzo in the romantic conclusion of this Little House book.  Correlates to the Common Core State Standards in English Language Arts",1953,Harper &amp; Row,4.18,2494,38,68292,1435,True
Enna Burning,1767,Shannon Hale,49177,True,"Enna and Princess Isi became fast friends in The Goose Girl, but after Isi married Prince Geric, Enna returned to the forest. Enna's simple life changes forever when she learns to wield fire and burn anything at will. Enna is convinced that she can use her ability for good--to fight Tira, the kingdom threatening the Bayern borders--and goes on secret raids to set fire to the Tiran camps and villages. But as the power of the fire grows stronger, she is less able to control her need to burn. In her recklessness she is captured by the Tiran army and held captive by a handsome, manipulative young captain who drugs her to keep her under his influence. Can Isi and her old friends Finn and Razo rescue her without sacrificing themselves? And with the fire still consuming her, will Enna find a way to manage the gift that threatens to destroy her?",2006,Bloomsbury Children's Books,3.98,2490,33,39348,3755,False
The Second Sex,1768,Simone de Beauvoir,5548,True,"Newly translated and unabridged in English for the first time, Simone de Beauvoir’s masterwork is a powerful analysis of the Western notion of “woman,” and a groundbreaking exploration of inequality and otherness.  This long-awaited new edition reinstates significant portions of the original French text that were cut in the first English translation. Vital and groundbreaking, Beauvoir’s pioneering and impressive text remains as pertinent today as it was back then, and will continue to provoke and inspire generations of men and women to come.",1989,Vintage,4.13,2489,33,32295,1482,False
Free Four: Tobias Tells the Divergent Knife-Throwing Scene,1769,Veronica Roth,4039811,True,"#1 New York Times bestselling author Veronica Roth retells a pivotal Divergent scene (chapter 13) from Tobias's point of view. This thirteen-page scene reveals unknown facts and fascinating details about Four's character, his past, his own initiation, and his thoughts about new Dauntless initiate Tris Prior.",2012,Katherine Tegen Books ,4.14,2489,30,95261,4774,False
Rage of Angels,1770,Sidney Sheldon,9068,False,"A worldwide bestseller first published in 1980, this novel tells the story of Jennifer Parker, a successful lawyer who is loved by two men, one a politician, the other, a mafia don.",1999,HarperCollins Publishers,3.94,2487,32,35292,1190,False
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,1771,Richard   Preston,9996,False,"A highly infectious, deadly virus from the central African rain forest suddenly appears in the suburbs of Washington, D.C. There is no cure. In a few days 90 percent of its victims are dead. A secret military SWAT team of soldiers and scientists is mobilized to stop the outbreak of this exotic hot virus.  tells this dramatic story, giving a hair-raising account of the appearance of rare and lethal viruses and their crashes into the human race. Shocking, frightening, and impossible to ignore,  proves that truth really is scarier than fiction.",1999,Anchor Books,4.12,2483,35,100521,5449,True
Night Play,1772,Sherrilyn Kenyon,4430,True,"Bride McTierney has had it with men. They're cheap, self-centered, and never love her for who she is. But though she prides herself on being independent, deep down she still yearns for a knight in shining armor.  She just never expected her knight in shining armor to have a shiny coat of fur...  Deadly and tortured, Vane Kattalakis isn't what he seems. Most women lament that their boyfriends are dogs. In Bride's case, hers is a wolf. A Were-Hunter wolf. Wanted dead by his enemies, Vane isn't looking for a mate. But the Fates have marked Bride as his. Now he has three weeks to either convince Bride that the supernatural is real or he will spend the rest of his life neutered—something no self-respecting wolf can accept...  But how does a wolf convince a human to trust him with her life when his enemies are out to end his? In the world of the Were-Hunters, it really is dog-eat-dog. And only one alpha male can win.",2004,St. Martin's Press,4.33,2479,35,51732,1631,True
Baby,1773,J.K. Accinni,6521036,True,"A gripping psychological thriller on the inherent greed and evil of man, dooming the planet.  Two hundred years of tender love between man and alien, political downfalls, wanton violence of unspeakable order tempered with laughter, family loyalty and hope is the thrilling vehicle by which Ms Accinni conveys her cautionary tale of the merciless disrespect man gives his planet and the vulnerable creatures entrusted to him.   Baby introduces Netty, a naive teenage farm girl given in marriage to an older brutal opportunist disguised as a successful citizen during the years of Prohibition in Sussex County, New Jersey. After years of enslavement, Netty flees into the night from her rapist and bootlegger husband, traveling back to the farm worked by her parents, where she rescues an unfamiliar damaged creature she finds in a cave in the woods of her childhood, falling in love with the enigmatic alien she names Baby. Together they find happiness and fulfillment despite the changes to Netty's body wrought by the proximity of the unusual creature.  Damaged by entry into our atmosphere while pregnant, the confused creature forgets the purpose of his mission, appearing unconcerned with the disappearance of his offspring and savoring the unexpected joy of the love he shares with young Netty.  When a handsome Italian stranger comes into Netty's life, complications ensue as she falls in love while trying to hide the bizarre and wondrous changes to her farm and her body. Netty, Baby and Wil strive to conquer obstacles thrown in their path by life, succeeding wildly until the heart-rending and astonishingly brutal climax to their story.  This charming, yet brutal story is the prologue to a series that will chill and surprise you as it foretells the selfishly destructive path man has followed since his species evolved. It pulls no punches while allowing Netty and Baby's influence to transcend mortal life as the world dances toward depraved indifference, introducing other characters along the ride that readers will laugh,shed tears with and learn to despise.  What lengths will Baby and his offspring go to complete their mission? Will it spell Armageddon for the beleaguered planet with its vulnerable and exploited creatures or will man tip the scales himself, leaving those that love the creatures to salvage the pitiful ruins?",2012,Skinny Leopard Media,3.81,2469,25,861,223,True
The Ghost Moth (The Red Grouse Tales),1774,Leslie   Garland,14872399,False,"The Ghost Moth; a tragic tale of the Spirit versus the Flesh.  Is it possible that a five hundred year old story of a young monk and his lover could impact on a family in the present day? As Joe reads an old folk tale and is drawn into a world of religious fanatics, witches, angels and she-devils, this unlikely possibility gradually becomes increasingly probable.  A story about the desires of the sexes and the doctrines of religion, with hints at the supernatural and beautiful and atmospheric imagery, this controversial, adult, speculative, spiritual and philosophical tale will intrigue, entertain and keep you guessing in equal measure up until the last page.  (Warning to sensitive readers; the story is an adult one and so deals with adult themes. It contains what some might find to be controversial views on both religion and sex, as well as mild sex scenes.)",2020,Amazon,4.3,2465,28,4514,11,False
The Rise and Fall of the Third Reich: A History of Nazi Germany,1775,William L. Shirer,13360,False,"Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.No other powerful empire ever bequeathed such mountains of evidence about its birth and destruction as the Third Reich. When the bitter war was over, and before the Nazis could destroy their files, the Allied demand for unconditional surrender produced an almost hour-by-hour record of the nightmare empire built by Adolph Hitler. This record included the testimony of Nazi leaders and of concentration camp inmates, the diaries of officials, transcripts of secret conferences, army orders, private letters—all the vast paperwork behind Hitler's drive to conquer the world.The famed foreign correspondent and historian William L. Shirer, who had watched and reported on the Nazis since 1925, spent five and a half years sifting through this massive documentation. The result is a monumental study that has been widely acclaimed as the definitive record of one of the most frightening chapters in the history of mankind.This worldwide bestseller has been acclaimed as the definitive book on Nazi Germany; it is a classic work.The accounts of how the United States got involved and how Hitler used Mussolini and Japan are astonishing, and the coverage of the war-from Germany's early successes to her eventual defeat-is must reading",1990,Simon &amp; Schuster,4.16,2463,38,106453,3015,True
Under the Volcano,1776,Malcolm Lowry,17439,False,"Geoffrey Firmin, a former British consul, has come to Quauhnahuac, Mexico. His debilitating malaise is drinking, an activity that has overshadowed his life. On the most fateful day of the consul's life—the Day of the Dead—his wife, Yvonne, arrives in Quauhnahuac, inspired by a vision of life together away from Mexico and the circumstances that have driven their relationship to the brink of collapse. She is determined to rescue Firmin and their failing marriage, but her mission is further complicated by the presence of Hugh, the consul's half brother, and Jacques, a childhood friend. The events of this one significant day unfold against an unforgettable backdrop of a Mexico at once magical and diabolical.   remains one of literature's most powerful and lyrical statements on the human condition, and a brilliant portrayal of one man's constant struggle against the elemental forces that threaten to destroy him.",2000,Harper Perennial,3.79,2461,31,22073,1436,True
Fade Out,1777,Rachel Caine,15292,True,"Withoutthe evil vampire Bishop ruling over the town of Morganville,the resident vampires have made major concessions to the human population. With their newfound freedoms, Claire Danvers and her friends are almost starting to feel comfortable again…    Now Claire can actually concentrate on her studies, and her friend Eve joins the localtheatrecompany. But when one of Eve’s castmates goes missingafter starting work on a shortdocumentary, Eve suspects the worst. Claire and Eve soon realize that this film project, whose subjectis the vampires themselves, is a wholelot bigger—andway more dangerous—than anyone suspected.",2009,Signet,4.19,2459,38,38177,969,False
Shadowland,1778,Jenny Carroll,167932,True,"Suze is a mediator -- a liaison between the living and the dead. In other words, she sees dead people. And they won't leave her alone until she helps them resolve their unfinished business with the living. But Jesse, the hot ghost haunting her bedroom, doesn't seem to need her help. Which is a relief, because Suze has just moved to sunny California and plans to start fresh, with trips to the mall instead of the cemetery, and surfing instead of spectral visitations. But the very first day at her new school, Suze realizes it's not that easy. There's a ghost with revenge on her mind ... and Suze happens to be in the way.",2005,Avon Books,4.02,2454,35,66396,2488,False
Daisy Jones &amp; The Six,1779,Taylor Jenkins Reid,6572605,False,"A gripping novel about the whirlwind rise of an iconic 1970s rock group and their beautiful lead singer, revealing the mystery behind their infamous break up.  Everyone knows Daisy Jones &amp; The Six, but nobody knows the real reason why they split at the absolute height of their popularity…until now.  Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go-Go. The sex and drugs are thrilling, but it’s the rock and roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.  Another band getting noticed is The Six, led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.  Daisy and Billy cross paths when a producer realizes the key to supercharged success is to put the two together. What happens next will become the stuff of legend.",2019,Ballantine Books,4.2,2453,26,312954,43536,True
Five Feet Apart,1780,Rachael Lippincott,17977608,False,"In this moving story two teens fall in love with just one minor complication—they can’t get within five feet of each other without risking their lives.    Stella Grant likes to be in control—even though her totally out of control lungs have sent her in and out of the hospital most of her life. At this point, what Stella needs to control most is keeping herself away from anyone or anything that might pass along an infection and jeopardize the possibility of a lung transplant. Six feet apart. No exceptions.  The only thing Will Newman wants to be in control of is getting out of this hospital. He couldn’t care less about his treatments, or a fancy new clinical drug trial. Soon, he’ll turn eighteen and then he’ll be able to unplug all these machines and actually go see the world, not just its hospitals.  Will’s  what Stella needs to stay away from. If he so much as breathes on Stella she could lose her spot on the transplant list. Either one of them could die. The only way to stay alive is to stay apart. But suddenly six feet doesn’t feel like safety. It feels like punishment.  What if they could steal back just a little bit of the space their broken lungs have stolen from them? Would five feet apart really be so dangerous if it stops their hearts from breaking too?",2018,Simon &amp; Schuster Books for Young Readers,4.2,2452,26,95622,11206,True
A Hunger Like No Other,1781,Kresley Cole,4428,True,"In and bestselling author Kresley Cole’s sizzling series, a fierce werewolf and a bewitching vampire become unlikely soul mates whose passion will test the boundaries of life and death.  After enduring years of torture from the vampire horde, Lachlain MacRieve, leader of the Lykae Clan, is enraged to find the predestined mate he’s waited millennia for is a vampire. Or partly one. Emmaline Troy is a small, ethereal half Valkyrie/half vampire, who somehow begins to soothe the fury burning within him.  Sheltered Emmaline finally sets out to uncover the truth about her deceased parents—until a powerful Lykae claims her as his mate and forces her back to his ancestral Scottish castle. There, her fear of the Lykae—and their notorious dark desires—ebbs as he begins a slow, wicked seduction to sate her own dark cravings.  Yet when an ancient evil from her past resurfaces, will their desire deepen into a love that can bring a proud warrior to his knees and turn a gentle beauty into the fighter she was born to be?",2006,Pocket Star,4.15,2451,32,70182,3492,True
At Swim-Two-Birds,1782,Flann O&#39;Brien,15248,False,"A wildly comic send-up of Irish literature and culture,  is the story of a young, lazy, and frequently drunk Irish college student who lives with his curmudgeonly uncle in Dublin. When not in bed (where he seems to spend most of his time) or reading he is composing a mischief-filled novel about Dermot Trellis, a second-rate author whose characters ultimately rebel against him and seek vengeance. From drugging him as he sleeps to dropping the ceiling on his head, these figures of Irish myth make Trellis pay dearly for his bad writing.  Hilariously funny and inventive,  has influenced generations of writers, opening up new possibilities for what can be done in fiction. It is a true masterpiece of Irish literature.",1998,Dalkey Archive Press,3.89,2446,29,11687,885,False
Oranges Are Not the Only Fruit,1783,Jeanette Winterson,9399,False," This is the story of Jeanette, adopted and brought up by her mother as one of God's elect. Zealous and passionate, she seems seems destined for life as a missionary, but then she falls for one of her converts.  At sixteen, Jeanette decides to leave the church, her home and her family, for the young woman she loves. Innovative, punchy and tender,   is a few days ride into the bizarre outposts of religious excess and human obsession.",1997,Grove Press,3.73,2445,35,62536,3188,True
